product name,url,Price,image url
"Solid/Plain Banarasi Art Silk, Silk Blend Saree",https://www.flipkart.com/doroly-solid-plain-banarasi-art-silk-silk-blend-saree/p/itm9d904bfc03b7a?pid=SARH8PY6M2MVTQFK&lid=LSTSARH8PY6M2MVTQFKERB5NP&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHtGXnnajrfnVPHBEw9C1IpjsBhiOvkt-MrWewF7ZGWrWg%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 348,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/z/z/z/free-msf-banarasi-darkgreen-bfa-doroly-unstitched-original-imahdmksyhradcyg.jpeg?q=70
Printed Bollywood Cotton Linen Saree,https://www.flipkart.com/aa-one-enterprise-printed-bollywood-cotton-linen-saree/p/itm33022e2553271?pid=SARHF2X35Q5NRRDG&lid=LSTSARHF2X35Q5NRRDG8PEYDU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_2&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHsv7V0d2DhLdo7ABXLehBwSPu05UhT6tlwPZqWOXTW__Q%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 732,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/a/a/6/free-dola-kiara-mehendi-sshagun-lifestyle-unstitched-original-imahf2wnvf2jzhgy.jpeg?q=70
Embellished Bollywood Chiffon Saree,https://www.flipkart.com/kakadiya-creation-embellished-bollywood-chiffon-saree/p/itm702153d61b582?pid=SARHF3ZFWNRGNSHQ&lid=LSTSARHF3ZFWNRGNSHQDOEDWY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=default_BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_3&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHF3ZFWNRGNSHQ.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 395,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/1/a/4/free-green-saree-kakadiya-creation-unstitched-original-imahe5hpkahbfxgf.jpeg?q=70
Digital Print Bollywood Georgette Saree,https://www.flipkart.com/maharaj-sarees-digital-print-bollywood-georgette-saree/p/itmd03fe1e0671dc?pid=SARHE4Z6QHUGGCZZ&lid=LSTSARHE4Z6QHUGGCZZJMQ1KI&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_4&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHE4Z6QHUGGCZZ.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 447,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/x/y/b/free-new-firingi-1217-maharajsarees-semi-stitched-original-imahdh7fjck5ybq3.jpeg?q=70
Embellished Bollywood Chiffon Saree,https://www.flipkart.com/jiyan-fashion-retail-embellished-bollywood-chiffon-saree/p/itm805e629f87fe3?pid=SARHCZHSGFTMKGGD&lid=LSTSARHCZHSGFTMKGGD1LMAXY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHsDfRmZFxFOxBtT91OjaymvoQKiDkPDS7O-HYPuhPzrAA%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 495,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/8/f/f/free-blue-diwa-jiyanfashionretail-unstitched-original-imahc6gdqz9npk52.jpeg?q=70
"Dyed, Blocked Printed, Ombre, Embellished Bollywood Georgette Saree",https://www.flipkart.com/salco-dyed-blocked-printed-ombre-embellished-bollywood-georgette-saree/p/itmfd522c3cdb0b6?pid=SARH2Y4FCACFRKPZ&lid=LSTSARH2Y4FCACFRKPZKXABTZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHvfk5zb2WcMVgH7s14N8lgBHyik4FhW3z3W3BXDruEFGg%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 299,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/k/3/j/free-1401-salco-unstitched-original-imah2y4fqzenn2ae.jpeg?q=70
Embellished Bollywood Chiffon Saree,https://www.flipkart.com/houseofcommon-embellished-bollywood-chiffon-saree/p/itmb84e59b274b18?pid=SARHE3KWYXHVUNYV&lid=LSTSARHE3KWYXHVUNYVVTJWNF&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_7&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHE3KWYXHVUNYV.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 936,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/f/d/free-hoc-facebook-navy-blue-houseofcommon-unstitched-original-imahedgzzs6udnup.jpeg?q=70
Floral Print Mysore Crepe Saree,https://www.flipkart.com/regaldrapes-floral-print-mysore-crepe-saree/p/itm870545454357d?pid=SARHE4KTBZ7Z7K2B&lid=LSTSARHE4KTBZ7Z7K2B2XV9NE&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_8&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHE4KTBZ7Z7K2B.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 445,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/j/p/k/free-csfp-14-purple-regaldrapes-unstitched-original-imahe4j9dhnpm7ca.jpeg?q=70
Self Design Bollywood Art Silk Saree,https://www.flipkart.com/aarunika-sbt-self-design-bollywood-art-silk-saree/p/itm489157c7eb48e?pid=SARHDYYDCQZZ4MUH&lid=LSTSARHDYYDCQZZ4MUHFPRWSU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHDYYDCQZZ4MUH.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 699,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/e/3/v/free-tanishq-rani-in-b7-aarunika-sbt-unstitched-original-imahdxzswhhwj2he.jpeg?q=70
Embellished Daily Wear Georgette Saree,https://www.flipkart.com/labheshwari-embellished-daily-wear-georgette-saree/p/itm6d1c653df0dbd?pid=SARH7YKZEZNTT3TV&lid=LSTSARH7YKZEZNTT3TVSRATDS&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=default_BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_10&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARH7YKZEZNTT3TV.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 410,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/p/e/i/free-perot-ranilace-labheshwari-unstitched-original-imahajj5qkz3pqg6.jpeg?q=70
