product name,url,image url
Women Boyfriend High Rise Black Jeans,https://www.flipkart.com/mercel-boyfriend-women-black-jeans/p/itm03b7ba1cec923?pid=JEAH7N4QFXTKD972&lid=LSTJEAH7N4QFXTKD972NCPE60&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_1&otracker=browse&fm=organic&iid=en_bl1pXx6S_91Nc0e18QO7hcmvfpCrvBRAAxQyCJ5E5bVoBxBCc5rzSRpMn1KsXlnno2GHRNVSMHs57rotAfr-8w%3D%3D&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/8/c/34-knitted-black-shrutika-original-imagrse8jupcxuya.jpeg?q=70
Women Boyfriend High Rise Blue Jeans,https://www.flipkart.com/montroze-boyfriend-women-blue-jeans/p/itme82790fe50ea1?pid=JEAH9H6CHKV5XWFZ&lid=LSTJEAH9H6CHKV5XWFZFEJVNH&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_2&otracker=browse&fm=organic&iid=en_bl1pXx6S_91Nc0e18QO7hcmvfpCrvBRAAxQyCJ5E5bXFo4mrVpnzH5WxAbT5bqt0kDD9CnLw-oTj0g3n5TR_Qw%3D%3D&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/t/7/j/26-3669-montroze-original-imah9h6cyyrxk9th.jpeg?q=70
Women Flared High Rise Blue Jeans,https://www.flipkart.com/guti-flared-women-blue-jeans/p/itmfc6ae7bd7aab7?pid=JEAGFKYUPXPTH5FQ&lid=LSTJEAGFKYUPXPTH5FQOLUIMN&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_3&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAGFKYUPXPTH5FQ.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/1/a/c/40-gtladiesjeans105-guti-original-imah4m3qzfrkqhhg.jpeg?q=70
Women Straight Fit Mid Rise Blue Jeans,https://www.flipkart.com/miss-chase-straight-fit-women-blue-jeans/p/itm3beee12903f94?pid=JEAHCKFH8XCFSXYQ&lid=LSTJEAHCKFH8XCFSXYQAIGYYX&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_4&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAHCKFH8XCFSXYQ.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/9/j/2/26-mcaw24den13-35-71-miss-chase-original-imahckfhvgznkryu.jpeg?q=70
Women Boyfriend High Rise Light Blue Jeans,https://www.flipkart.com/herway-boyfriend-women-light-blue-jeans/p/itm02a5c4e1786e4?pid=JEAHCEEXZY9FVZDW&lid=LSTJEAHCEEXZY9FVZDWGWO2JB&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_5&otracker=browse&fm=organic&iid=en_bl1pXx6S_91Nc0e18QO7hcmvfpCrvBRAAxQyCJ5E5bURMVLNXub00FtJjywukcWFANIkRJv9nJbT3ev5_bBOaxhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-jean/d/k/8/30-j-2025-kashian-original-imahbj8ucqggywpm.jpeg?q=70
Women Skinny Mid Rise Blue Jeans,https://www.flipkart.com/nifty-skinny-women-blue-jeans/p/itmaa86e9d672a30?pid=JEAH6AEDQC3BHJHZ&lid=LSTJEAH6AEDQC3BHJHZSKXW9M&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_6&otracker=browse&fm=organic&iid=en_bl1pXx6S_91Nc0e18QO7hcmvfpCrvBRAAxQyCJ5E5bWKYohPfa5JkX8rKwOPs_bPh4Yn2MyzhSmkZyV3RiHW-Q%3D%3D&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/9/r/3/40-nftyplus-pln-bta-nifty-original-imah6aecvabwwesr.jpeg?q=70
Women Skinny High Rise Black Jeans,https://www.flipkart.com/3-butterflies-skinny-women-black-jeans/p/itm075af5582ed3e?pid=JEAHE29ZKGM3QKYZ&lid=LSTJEAHE29ZKGM3QKYZQODSYQ&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_7&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAHE29ZKGM3QKYZ.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/m/k/g/40-4fp-3-butterflies-original-imahe29ygevugyme.jpeg?q=70
Women Skinny High Rise Black Jeans,https://www.flipkart.com/3-butterflies-skinny-women-black-jeans/p/itm2405a9d27a819?pid=JEAHE29ZUMPWGYZE&lid=LSTJEAHE29ZUMPWGYZE89DKMV&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_8&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAHE29ZUMPWGYZE.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/y/y/y/36-4fp-3-butterflies-original-imahe29yc2uhfykm.jpeg?q=70
Women Loose Fit Mid Rise Blue Jeans,https://www.flipkart.com/p-x-5-loose-fit-women-blue-jeans/p/itma5df7abbaeaf7?pid=JEAHE4E9QBNGNWDH&lid=LSTJEAHE4E9QBNGNWDH8S8VHJ&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_9&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAHE4E9QBNGNWDH.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/w/j/y/30-wom-1504-p-x-5-original-imahe6kkzfurqvuq.jpeg?q=70
Women Boyfriend High Rise Grey Jeans,https://www.flipkart.com/kashian-boyfriend-women-grey-jeans/p/itmc953673ad0000?pid=JEAGZ9CZU9KSXNNS&lid=LSTJEAGZ9CZU9KSXNNSME7ATU&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fk58%2F4hp&srno=b_1_10&otracker=browse&fm=organic&iid=0316be0b-b08e-40df-a90c-4ce92d23cbe4.JEAGZ9CZU9KSXNNS.SEARCH&ppt=None&ppn=None&ssid=nohryylogw0000001753486201921,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/m/w/x/32-j-1320-grey-kashian-original-imagz9cwpkthfuha.jpeg?q=70
