product name,url,image url,price,mrp,discount
Women's Lifestyle Sneakers | Casual Low-Cut Style Casuals For Women,https://www.flipkart.com/red-tape-women-s-lifestyle-sneakers-casual-low-cut-style-casuals-women/p/itm5157944b6c49e?pid=SHOHBRUMTHDTXHMY&lid=LSTSHOHBRUMTHDTXHMYJQC4TW&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_1&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=en_RwcTdGpQLJNtDxQTO7qF20pkfy99zYI8YG6mFyCGsRTiKR2XI_5awxIZv3nkcQfAvBApVDRuFtryEnriNGEsLPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/w/y/6-rll013-red-tape-beige-original-imagsz68gwthrdkk.jpeg?q=70,1279,6399,80%
Women's Sneakers | Sleek Design with Cushioned Comfort Casuals For Women,https://www.flipkart.com/red-tape-women-s-sneakers-sleek-design-cushioned-comfort-casuals-women/p/itm87d098ed89a00?pid=SHOHBRVF8VRRJ6TN&lid=LSTSHOHBRVF8VRRJ6TN7P8FZJ&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_2&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=en_RwcTdGpQLJNtDxQTO7qF20pkfy99zYI8YG6mFyCGsRSx8s3vRiWZoNj_MMOSNfXvO9fQN6KgiWHxkIsc_fsAXfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/p/z/h/7-rll0416-red-tape-white-grey-original-imahbrvfahy9db9z.jpeg?q=70,1219,6099,80%
SL 231 | Stylish Comfortable | Slip On Sneakers For Women,https://www.flipkart.com/sparx-sl-231-stylish-comfortable-slip-sneakers-women/p/itm738f617c0004e?pid=SHOGJNHMYFS2GNSZ&lid=LSTSHOGJNHMYFS2GNSZE8Q4MZ&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&spotlightTagId=default_TrendingId_osp%2Fiko%2Fsx7&srno=b_1_3&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOGJNHMYFS2GNSZ.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/m/p/o/8-sd0231l-8-sparx-tulippurplelightpink-original-imah6hfyvyaatmnr.jpeg?q=70,349,699,50%
White Trending Sneaker's For Women Sneakers For Women,https://www.flipkart.com/layasa-white-trending-sneaker-s-women-sneakers/p/itm6aed7ada03ccb?pid=SHOHD66AYKMTTVCN&lid=LSTSHOHD66AYKMTTVCN2JNU8M&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_4&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOHD66AYKMTTVCN.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/0/e/r/8-ld3966-41-layasa-white-original-imahecyhfm3xvjuc.jpeg?q=70,498,1999,75%
Grey Tranding Stylish Casual Shoes Sneakers For Women,https://www.flipkart.com/megpar-grey-tranding-stylish-casual-shoes-sneakers-women/p/itmfd3e54e74ec04?pid=SHOHD2W2X2ZMZCYY&lid=LSTSHOHD2W2X2ZMZCYYFCUCJ4&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_5&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=en_RwcTdGpQLJNtDxQTO7qF20pkfy99zYI8YG6mFyCGsRS3d4mnuibJSw9WfWI7yWj0BLcfXrKKjHj3vbEVKOdzVg%3D%3D&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/l/b/6-newat01-39-0-megpar-grey-original-imahd2w2rvajtngs.jpeg?q=70,457,999,54%
White Trending Stylish Casual Shoes Sneakers For Women,https://www.flipkart.com/megpar-white-trending-stylish-casual-shoes-sneakers-women/p/itm7d6e191f32d16?pid=SHOHC5GXK8SHYKAF&lid=LSTSHOHC5GXK8SHYKAF9DBXRR&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_6&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=en_RwcTdGpQLJNtDxQTO7qF20pkfy99zYI8YG6mFyCGsRRGOAw_2pMlBzjLQ1gX0-CH1KVJZ_I-iJ2KRc3nc9pf7g%3D%3D&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/e/y/7-121vs-megpar-white-original-imahc58r8qqy73rf.jpeg?q=70,470,999,52%
Asian Berlin-01 Women Sneakers | Stylish Lightweight Casual Sneakers for Girls Sneakers For Women,https://www.flipkart.com/asian-berlin-01-women-sneakers-stylish-lightweight-casual-girls/p/itmb62db92efd620?pid=SHOHDXXHGK6GZZZF&lid=LSTSHOHDXXHGK6GZZZFA1MFSX&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_7&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOHDXXHGK6GZZZF.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/m/b/y/5-berlin-01-5-0-asian-black-baby-pink-original-imahdxxht9nghryr.jpeg?q=70,799,1249,36%
Fancy stylish comfotable Causal Sports Running Shoes Fancy Partywear Sneakers For Women,https://www.flipkart.com/deflow-fancy-stylish-comfotable-causal-sports-running-shoes-partywear-sneakers-women/p/itm810b9091f9bc3?pid=SHOHE7P8MYNRXVSC&lid=LSTSHOHE7P8MYNRXVSCABWOEM&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_8&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOHE7P8MYNRXVSC.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/m/o/d/4-5044-4-0-cogs-pink-original-imahe4t5navgndpn.jpeg?q=70,619,1499,58%
Slip On Sneakers For Women,https://www.flipkart.com/tradefluex-slip-sneakers-women/p/itmb51bbe6c48a88?pid=SHOHDVQSRWRM6PTZ&lid=LSTSHOHDVQSRWRM6PTZGS1NXT&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_9&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOHDVQSRWRM6PTZ.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/p/6/f/5-ogiiy-5-0-tradefluex-pink-original-imahdvqsusxzdwjh.jpeg?q=70,499,999,50%
Running ShoesSports Shoes for Women|Memory Foam Insole Walking Shoes for Women| Loafers For Women,https://www.flipkart.com/aqualite-running-shoes-sports-shoes-women-memory-foam-insole-walking-women-loafers-women/p/itm7252b10174361?pid=SHOGMVGHEWHQ68Y7&lid=LSTSHOGMVGHEWHQ68Y70PVFKM&marketplace=FLIPKART&store=osp%2Fiko%2Fsx7&srno=b_1_10&otracker=nmenu_sub_Women_0_Casual%20Shoes&fm=organic&iid=920114f9-2506-4884-bf86-2acf0f5e83f7.SHOGMVGHEWHQ68Y7.SEARCH&ppt=None&ppn=None&ssid=zknvcq9fy80000001753622552966,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/y/x/v/-original-imahd2zghauhjxb4.jpeg?q=70,389,1149,66%
