product name,url,image url,price,mrp,discount
Embroidered Stitched Lehenga & Crop Top,https://fkrt.cc/gtj5gQo,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/9/g/i/xl-3-4-sleeve-p-partywear-lehenga-womenfasions-original-imahef45ubdzsryd.jpeg?q=70,1950,2500,22%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gj2V43d,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/t/f/p/free-full-sleeve-women-s-collection-dolla-silk-lehenga-choli-original-imahdfxyh2vfz3gx.jpeg?q=70,799,1299,38%
Embellished Stitched Lehenga with Jacket,https://fkrt.cc/g3YaQwQ,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/z/f/o/xl-full-sleeve-g-86-1078-purple-nilormy-original-imahag7netzfcrhv.jpeg?q=70,1674,7999,79%
Self Design Semi Stitched Lehenga Choli,https://fkrt.cc/glWwOyq,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/h/b/t/free-na-zig-zeg-lehenga-choli-hem-selles-original-imah2v2bzdgyzeqk.jpeg?q=70,1206,3999,69%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gIKUv2I,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/k/a/c/free-full-sleeve-lehenga-lehenga-for-women-lehenga-choli-net-original-imah4gpnwhzdqbqx.jpeg?q=70,498,3299,84%
Self Design Semi Stitched Lehenga Choli,https://fkrt.cc/g1hd7fo,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/x/z/f/free-half-sleeve-pochampalli-green-vrati-creation-original-imaggvykw4fqyebw.jpeg?q=70,666,2999,77%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gOX8v6g,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/m/h/j/free-short-sleeve-tree-rv-cynorhub-original-imahcyh9ggjge7gr.jpeg?q=70,1424,4999,71%
Embroidered Embellished Semi Stitched Lehenga Choli,https://fkrt.cc/gWNaXNj,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/t/j/h/free-na-dd-jalpari-sarathybiz-original-imahddyzgzt5kgxc.jpeg?q=70,1399,4999,72%
Self Design Semi Stitched Lehenga Choli,https://fkrt.cc/gfX9Xpl,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/i/o/e/free-na-three-patti-maroon-sarathybiz-original-imahcwawgkhnutgz.jpeg?q=70,808,3999,79%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gy6Kl52,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-lehenga-choli/s/9/a/free-full-sleeve-semi-stitched-44-embroidered-net-silk-satin-original-imah75cwjdmewsng.jpeg?q=70,498,3399,85%
Embellished Semi Stitched Lehenga Choli,https://fkrt.cc/gLi4TtP,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/e/e/p/free-full-sleeve-renuka-kf-kedar-fab-original-imah9rwgcg6tajvf.jpeg?q=70,998,4599,78%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gZe4IGj,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/4/z/j/free-full-sleeve-128-turquoise-jf50196-jogmaya-fashion-original-imahcz5kh5umf5ed.jpeg?q=70,2489,8299,70%
Embellished Semi Stitched Lehenga Choli,https://fkrt.cc/g2gVFDz,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/r/u/z/free-full-sleeve-renuka-tf-trijal-fab-original-imah9rxfapmztnsg.jpeg?q=70,959,4599,79%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/g2OvhaM,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/z/5/6/free-full-sleeve-simple-lehenga-for-girls-women-koti-blouse-original-imahcgenmzecuhhx.jpeg?q=70,480,3189,84%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gMcnnXq,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/z/f/m/free-na-hathi-lh-apnisha-original-imahdnuadxxx4vtm.jpeg?q=70,1121,2499,55%
