product name,url,image url,price,mrp,discount,brand
Printed A-Line Maxi Skirt,https://myntr.it/MWqcl6h,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24865792/2023/10/4/2f7f7251-0d0b-4cb5-b0ce-19acbe3f57771696415933351-Anayna-Women-Printed-A-Line-Flared-Cotton-Maxi-Skirt-3831696-7.jpg,750,2690,72%,Myntra
Printed A-line Maxi Skirt,https://myntr.it/4lSgyMg,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24865788/2023/10/4/bca66c88-47b6-4f0b-9c34-6f68556e1a481696415908331-Anayna-Women-Printed-A-Line-Flared-Cotton-Maxi-Skirt-6316964-7.jpg,750,2690,72%,Myntra
Women A-Line Maxi Skirt,https://myntr.it/9vsMhLB,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24865752/2023/9/13/9fb06232-8e33-4444-8dec-dc3ecf4c7c851694599321117-Anayna-Womens-Dual-Printed-Flared-Long-Skirt-225169459932014-1.jpg,750,2690,72%,Myntra
Women Maxi-Length Flared Skirt,https://myntr.it/4rEVpac,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/19691940/2022/8/27/071aaf1e-5909-4569-8134-b7b9446d6ecb1661589184601Skirts1.jpg,681,2199,69%,Myntra
Ethnic Printed Flared Skirt,https://myntr.it/BvsWgtr,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24402236/2023/8/8/6d740580-854b-4a76-93ec-6acb93b569881691503736222CloraBlackPrintedRayonMaxiSkirt1.jpg,940,1999,52%,Myntra
Bandhani Printed Flared Skirt,https://myntr.it/houDC5Q,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24402188/2023/8/8/b91234ed-d91f-470f-9fd9-d5975ddba71c1691500850980CloraMulticolouredTieDyeBandhaniPrintedChinonSkirt1.jpg,999,2499,60%,Myntra
Printed Flared Maxi Skirt,https://myntr.it/2UmoN2R,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/productimage/2020/10/4/915d8a99-cc2f-4dc7-91bf-22c438ff18f21601766329088-1.jpg,884,1499,41%,Myntra
Printed Flared Maxi Skirt,https://myntr.it/xnWWY4a,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/22735232/2023/4/11/d0d64582-fdd3-4770-b53d-9de5eec3dc611681215960987CloraBlackPrintedRayonMaxiSkirt1.jpg,940,1999,52%,Myntra
Soft Net Flared Maxi Lehenga Skirt,https://myntr.it/UVz0cMy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/22457452/2023/3/21/a15d122d-b759-474d-8fec-0b00dd12a79a1679404079536NEUDISWomenMaroonSolidSoftNetFlaredMaxiLehengaSkirt1.jpg,674,2499,1825,Myntra
Women A-Line Maxi Skirt,https://myntr.it/mk7ua77,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24865778/2023/9/13/feb0659c-1beb-4afe-abfc-fae3ce0fc8911694599507570-Anayna-Womens-Dual-Printed-Flared-Long-Skirt-707169459950706-1.jpg,807,2690,70%,Myntra
Women Solid Flared Maxi Skirt,https://myntr.it/I5zhcee,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/12553240/2020/10/9/6362f451-7078-4669-a01f-6bb0590e57541602235479190VastraaFusionWomensChanderiMaxiSkirtRoyalBlue1.jpg,499,1999,75%,Myntra
Printed Flared Maxi Skirt,https://myntr.it/c1uxG6Q,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/productimage/2020/10/6/c1fbc031-c5b0-4456-8a3e-0c15eea841b81601936407942-1.jpg,884,1499,41%,Myntra
Printed Tiered Long Skirt,https://myntr.it/LHzQyVk,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/16477692/2023/10/4/42e31087-25f7-40ee-91bc-c04d7693bab61696406380028-Anayna-Women-Blue-And-White-Printed-Cotton-Tiered-Long-Skirt-7.jpg,769,2750,72%,Myntra
Ethnic Printed Flared Skirt,https://myntr.it/0dCUBy1,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24402192/2023/8/9/e828d8ff-3d60-478c-9ec2-0a50e4e7b47e1691563393546CloraMaroonPrintedRayonMaxiSkirt1.jpg,940,1999,52%,Myntra
Women Printed Flared Skirt,https://myntr.it/OjFUG8m,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/17763458/2022/4/5/0a10f7ee-acf7-44e2-8395-95658248d5861649152463384CloraCreationWomenMagentaGold-ColouredPrintedFlaredMaxiSkirt1.jpg,884,1499,41%,Myntra
Bandhani Printed Flared Skirt,https://myntr.it/7K5vRv7,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24402174/2023/8/9/7c6db620-e0ba-4a07-86de-9178c7b66c491691559252980CloraMulticolouredTieDyeBandhaniPrintedChinonSkirt1.jpg,999,2499,60%,Myntra
Women Floral Printed Flared Maxi Skirt,https://myntr.it/dnKaRmv,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/17408752/2022/3/5/8c128ee4-1a3d-42c6-882b-378b1de47bb51646474244413AureliaBlueFloralPrintedSkirt1.jpg,1359,2499,45%,Myntra
Ethnic Motifs Printed Skirt,https://myntr.it/lY0KmwU,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/23320780/2023/5/22/347fdd43-fdb8-44fb-bc76-7da31216ab331684734390849MagentaPrintedFlaredRayonSkirt1.jpg,949,2499,62%,Myntra
Women Printed Flared Maxi Skirt,https://myntr.it/YtpPCfH,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/productimage/2021/3/25/1cfe78be-d1a1-4748-88b3-cfd8051e8a951616650145731-1.jpg,971,1799,46%,Myntra
Women Net Layered Skirt,https://myntr.it/QTFNi44,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/20234262/2022/10/17/bbe85298-3244-4dd6-9a58-3c795143d89b1665983910926-Antheaa-Women-Skirts-6321665983910282-1.jpg,1209,2199,45%,Myntra
Net Flared Maxi Skirt,https://myntr.it/Z5rbvwz,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/22448542/2023/3/21/d22d99f3-4762-4fd6-a3fa-bd130bdaa9241679391189616NEUDISWomenBlackSolidSoftNetFlaredMaxiLehengaSkirt1.jpg,849,2499,1650,Myntra
Women Embroidered Flared Maxi Skirt,https://myntr.it/KIQT55r,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/19076528/2022/7/12/62f13b48-0923-4fdc-8e24-1eebb17f61551657632696439studiorasaWomenPinkEmbroideredFlaredMaxiSkirt1.jpg,1286,3299,61%,Myntra
Women Printed Flared Maxi Skirt,https://myntr.it/5b6KNHi,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/productimage/2021/3/25/4af8ae32-7cb0-4014-a258-18608bcae3a51616659588193-1.jpg,971,1799,46%,Myntra
Printed Flared Maxi Skirt,https://myntr.it/qHpCfhm,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/22735256/2023/4/11/d857adc9-67f2-4e36-b4fc-b0467e7040b81681220545973CloraNavyBluePrintedRayonFlaredSkirt1.jpg,940,1999,52%,Myntra
Women Printed Flared Maxi Skirt,https://myntr.it/Zo5tx88,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/17255446/2022/2/23/e92a958c-ecfe-4065-8490-539b6e16f2761645606956695NEUDISWomenMultiColorFloralPrintFlaredMaxiLehengaSkirt4.jpg,974,2499,61%,Myntra
Ethnic  Printed Flared Skirt,https://myntr.it/75dgr3z,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24402218/2023/8/8/aee834af-e490-4337-a5db-ccb5c17a73f11691500263192CloraNavyBluePrintedRayonFlaredSkirt1.jpg,940,1999,52%,Myntra
