product name,url,image url,price,mrp,discount,brand
Indie Floral Printed Vest,https://myntr.it/2nQ61ir,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/20/1icPFn5V_1c71a185856944aa9e4819294ab3ba73.jpg,278,1399,80%,Myntra
Pure Cotton Top,https://myntr.it/YiAkQrm,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/productimage/2018/12/11/0e1ef769-03ce-4733-a1e2-53434a8326841544520569693-1.jpg,299,1199,75%,Myntra
Round Neck Tank Crop Top,https://myntr.it/cHh5Scj,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/8/1upaQ2M5_8d81fd259a7847fb84cb2187382887f0.jpg,299,1999,85%,Myntra
Cowl Neck Crepe Top,https://myntr.it/noN14x0,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/16/6pKHMxjU_4786cecacd1849c59f21fef47be2e1e5.jpg,218,999,781,Myntra
Women Solid Top,https://myntr.it/Xy4VSxz,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/30135981/2024/7/6/9987e155-7412-4811-8942-915b11d945df1720241189228DreamBeautyFashionTop1.jpg,220,999,77%,Myntra
Round Neck Tank Top,https://myntr.it/4554By8,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/8/bLIhyiWx_2d1f8f6f611242b8bcca52a2aa3399bf.jpg,299,1999,85%,Myntra
Contrast Rib Top,https://myntr.it/yZgo00I,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/27991978/2024/3/2/e78bbbcb-8e6b-465f-8e2a-ad7c2f0d71a21709360771722TokyoTalkiesTop1.jpg,167,599,72%,Myntra
Shoulder Straps Crop Tank Top,https://myntr.it/B0lZ30f,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/5/FK7tH2uf_6e6b5588161e4a7599e542e9086a8d1d.jpg,221,792,72%,Myntra
High Neck Crop Top,https://myntr.it/M6ElxPG,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/8/ru3VDlN3_45e938f5806b40a8bafb73407bb216b5.jpg,299,1999,85%,Myntra
Ethnic Motifs Print Cotton Top,https://myntr.it/YRus6ls,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/AUGUST/22/yufJWyju_e38d87b7d47d4c31a0ec6e7573918e86.jpg,277,1199,922,Myntra
Henley Neck Regular Top,https://myntr.it/cemx4TB,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/28118256/2024/7/29/98bbf715-dcc4-4084-9e99-f56d156913201722231414501-Roadster-Women-Tops-4601722231414110-1.jpg,202,699,71%,Myntra
Solid Crop Tank Top,https://myntr.it/0mw1AO0,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/8/tq1Yoj3j_cfde9e536171484dbbcfca752c70222b.jpg,299,1999,85%,Myntra
Puff Sleeves Peplum Top,https://myntr.it/bsQtX1y,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24226682/2023/11/20/02e4dcb8-2a48-4087-874d-09cdb633bdf01700459287157-Fabflee-Square-Neck-Puff-Sleeves-Peplum-Top-4531700459286690-1.jpg,255,999,74%,Myntra
