product name,url,image url,price,mrp,discount,brand
Ready To Wear Lehenga Choli,https://myntr.it/TIJ2uq1,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24229732/2023/7/27/31de986e-4ee3-4a68-9018-d826fa426b611690464136169HOUSEOFJAMOTINavyBlueWhitePrintedReadytoWearLehengaBlouseWit1.jpg",2249,7499,70%,Myntra
Lehenga With Blouse & Dupatta,https://myntr.it/H9X13AD,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23436634/2023/5/27/f4567760-233e-487c-a204-2b8da8b8a7b91685128357570WomenLehengaCholi1.jpg",1199,5999,80%,Myntra
Chanderi Lehenga & Crop Top,https://myntr.it/yzzR27f,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19798068/2022/9/5/9341b21e-2b04-4e6c-b423-36a3cafacce71662369460228ShaebySASSAFRASYellowGreenPrintedReadytoWearLehenga1.jpg",1664,4499,63%,Myntra
Lehenga With Blouse & Dupatta,https://myntr.it/8e5ghmq,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23436620/2023/5/26/e70e2d19-253b-4774-9211-56af70ee219a1685124767799WomenLehengaCholi1.jpg",1199,5999,80%,Myntra
Ready to Wear Lehenga Unstitched Blouse With Dupatta,https://myntr.it/IZ1wr9m,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16538616/2021/12/16/9e0a18d4-6130-4725-a07a-dac82fbd522b1639665007340PURVAJAWomenGreen1.jpg",1269,6999,81%,Myntra
Semi-Stitched Lehenga Choli,https://myntr.it/jK4yuf1,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18309020/2022/5/18/a22be237-140d-47c7-9912-1ec92d53aa911652858633784PURVAJAWomenBlackLehengaCholi1.jpg",1269,6999,81%,Myntra
Floral Printed Lehenga Choli,https://myntr.it/AV5uDhl,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25056264/2023/9/19/93be6af4-d579-44c8-9a0c-f398acc94f481695125765343ShaebySASSAFRASMustardRedPrintedReadytoWearLehenga1.jpg",1738,4699,63%,Myntra
Ready to wear Lehenga Choli,https://myntr.it/XwkdCeo,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15160144/2021/8/16/0fec7f67-aa38-468a-8661-abae460d194a1629130890051PURVAJAWomenTeal1.jpg",1199,5999,80%,Myntra
Ready to Wear Lehenga Unstitched Blouse With Dupatta,https://myntr.it/a8ADRKU,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15160134/2021/8/16/3340ff26-9f39-4f3d-a208-48ca414f408f1629130846533LehengaCholi1.jpg",1199,5999,80%,Myntra
Ready to Wear Lehenga Choli,https://myntr.it/6YDZuYf,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21253882/2022/12/20/77fee48d-3712-4467-8223-e5761a54b3171671530559422LehengaCholi1.jpg",1499,4339,65%,Myntra
Semi-Stitched Lehenga & Unstitched Blouse with Dupatta,https://myntr.it/Ltw4Cod,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12824914/2020/12/9/b617b0a2-b710-45c5-8e35-f50bfb565bcf1607515387848-DIVASTRI-Women-Lehenga-Choli-5791607515385537-1.jpg",1799,5999,4200,Myntra
Ready to Wear Lehenga Choli,https://myntr.it/KoY84q4,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20658758/2022/12/1/7d4ab9f8-87a2-4da8-a6f4-e465ae6883c11669875418149-Shae-by-SASSAFRAS-Women-Yellow--Green-Printed-Ready-to-Wear--1.jpg",1597,4699,66%,Myntra
Semi-Stitched Lehenga & Unstitched Blouse with Dupatta,https://myntr.it/xv1J49m,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13452634/2021/2/9/d19d6199-0389-42b5-9c07-a545dc8f34a41612872514258SHOPGARBTaupeSilverFoilZariSemi-StitchedLehengaUnstitchedBlo1.jpg",1999,9999,8000,Myntra
