product name,url,image url,price,mrp,discount
Women Viscose Rayon Kurti Pant Attached Dupatta Set,https://fkrt.cc/gn4sSmz,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/b/z/q/s-sw-urmi-piludi-house-original-imahbvbzvwb2uqgt.jpeg?q=70,676,1999,66%
Women Art Silk Kurti Pant Dupatta Set,https://fkrt.cc/gBcIXvi,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/8/l/j/3xl-2019-ziveti-fashion-original-imahfv7nx4ykzyzm.jpeg?q=70,442,2999,85%
Women Viscose Rayon Ethnic Top Skirt Set,https://fkrt.cc/g6mO61k,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/u/b/2/s-3-4-sleeve-1550blueskirtpinkshirt-alasha-original-imafvuhepevmesh6-bb.jpeg?q=70,641,2699,76%
Women Viscose Rayon Kurta Pant Set,https://fkrt.cc/gfHVSOI,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/j/e/o/xl-kurta-2p-101-bhadriyaa-original-imah459skwumzwfh.jpeg?q=70,,,
Women Net Kurta Pant Set,https://fkrt.cc/gnv2Zz9,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/f/z/p/xl-net-cotton-neev-s-dizain-studio-original-imahec3c8hgv8v52.jpeg?q=70,649,1499,56%
Women Cotton Blend Kurta Pant Set,https://fkrt.cc/g3thMov,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/a/c/m/s-dolly-avsar-trendz-original-imaheb2jpwhfpv2z.jpeg?q=70,499,1999,75%
Women Viscose Rayon Ethnic Top Pant Set,https://fkrt.cc/g2ppodG,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/v/q/s/l-dvs523-divastri-original-imahfv9qeusyjbcy.jpeg?q=70,,,
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gKbjpHg,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/o/h/p/l-162kbd1744-samah-original-imah4fhxvhamtgmh.jpeg?q=70,,,
Women Cotton Silk Kurta Pant Dupatta Set,https://fkrt.cc/gruHIU4,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/g/v/u/m-176kbd1881-samah-original-imahfgytx7pcgd4g.jpeg?q=70,,,
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g972w6R,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/j/e/u/m-150kbd1624va-divastri-original-imah48wda3egybgh.jpeg?q=70,,,
Women Cotton Blend Kurta Pant Set,https://fkrt.cc/g98tQ56,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/3/7/3/xxl-dolly-avsar-trendz-original-imaheb2jyg5hugyk.jpeg?q=70,500,1999,74%
Women Cotton Blend Kurta Pant Set,https://fkrt.cc/gLMQZgd,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/q/x/l/m-dolly-avsar-trendz-original-imaheb2jd8ayzmtp.jpeg?q=70,499,1999,75%
Women Pure Cotton Kurti Pant Set,https://fkrt.cc/gI8VWvl,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/e/e/a/l-women-printed-cotton-kurta-pant-set-rashora-original-imah3h8sf4xxbfkp.jpeg?q=70,,,
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g46kk7s,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/i/f/i/xl-172kbd1842-samah-original-imah545cevfjdmzj.jpeg?q=70,,,
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gbgate7,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/o/b/g/xxl-896pink-vastranikhar-original-imagzubdhth78cvh.jpeg?q=70,,,
Women Cotton Blend Kurta Pant Set,https://fkrt.cc/gu0UNsp,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/f/1/x/xl-off-shoulder-trahimam-original-imah7ggat3bwyzbg.jpeg?q=70,,,
Women Viscose Rayon Kurta Pant Set,https://fkrt.cc/gzI6HqX,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/r/s/9/s-7003-kashiscreation-original-imahc7hfjarp3vw7.jpeg?q=70,463,2149,78%
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gpA5aLN,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/a/h/u/l-sw-siya-lavender-piludi-original-imahctueaqfn764a.jpeg?q=70,633,1699,62%
Women Viscose Rayon Kurta Pant Set,https://fkrt.cc/geOjHuu,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/y/m/3/xxl-black-jal-kot-set-rayssa-original-imahczdc2ugkpjtz.jpeg?q=70,654,1200,45%
Women Pure Cotton Kurta Palazzo Set,https://fkrt.cc/gtVaRo8,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/o/v/o/xxl-lovelee-green-mamisaa-original-imah35sy4h8fhfnh.jpeg?q=70,414,1999,79%
