product name,url,image url,price,mrp,discount
EVA Self Design Kurta Trouser/Pant & Dupatta Set,https://fktr.in/abiUffu,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/r/d/m/s-eva-tvasmi-original-imagvtrzfxs24hah.jpeg?q=70,1175,3999,70%
VT-MIA-white-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/f5RM9LC,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/v/l/a/m-embrodairy-kurta-set-for-human-satamar-creation-original-imahb82utqzpb4ug.jpeg?q=70,1236,2456,49%
Girls Festive & Party Kurta Pyjama & Dupatta Set,https://fktr.in/Et7auLy,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/j/x/m/10-11-years-pakistani-mehrajdresses-original-imah9b47vhp83rez.jpeg?q=70,378,999,62%
VT-NIRVA_yellow-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/soq8Ra8,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-salwar-kurta-dupatta/3/z/v/xxl-embrodairy-kurta-set-for-human-satamar-creation-original-imahbqq8yayqhaug.jpeg?q=70,1287,2590,50%
VT-BLACK_BERRY-xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/CpWYfLL,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/3/k/g/l-3004202501-glam-india-original-imahbppugk3hk6ud.jpeg?q=70,1267,2566,50%
VT-NORA_YELLOW-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/v4Mml4y,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/p/f/q/xl-di-nora-mustard-kiwa-studio-original-imah9bffy5ztgvbg.jpeg?q=70,1203,2534,52%
Pallavi xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/m2yfvaa,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ethnic-set/b/l/m/m-pallavi-cotton-kurta-set-x-glam-original-imah4c7qpf7vsek2.jpeg?q=70,1276,3999,68%
Pallavi s Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/q9tHYA6,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ethnic-set/b/l/m/m-pallavi-cotton-kurta-set-x-glam-original-imah4c7qpf7vsek2.jpeg?q=70,1276,3999,68%
SOFIA rama s Self Design Kurta Trouser/Pant & Dupatta Set,https://fktr.in/kdbKK33,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/9/c/n/xxl-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8fbwdzzzt.jpeg?q=70,1570,3999,60%
VI-SAMEERA-WINE_xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://fktr.in/iQ0vcj1,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/0/1/v/m-sameera-tasme-original-imah48uatahbwmtz.jpeg?q=70,1297,2876,54%
