product name,url,image url,price,mrp,discount
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/tibra-collection-men-kurta-pyjama-set/p/itm880850baa5429?pid=ETHGUF5ZBNHWHHGG&lid=LSTETHGUF5ZBNHWHHGGZUY7CG&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_1&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTSNgieOgITkYqhgPWPMLlZyMtMbxA-R7IaJ-cWWnby5Q%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/x/q/s/l-7900-tibra-collection-original-imah4uqnhy3fmwzh.jpeg?q=70,395,1999,80%
Men Silk Blend Kurta Pyjama Set,https://www.flipkart.com/tibra-collection-men-kurta-pyjama-set/p/itm92547f10a1e4b?pid=ETHG3M6F8EPK6GJA&lid=LSTETHG3M6F8EPK6GJA8BAVXL&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_2&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fS1K8gMOtHOMhoL4-Ug0urDoX509ye3l9EN32VNcC8zeQ%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/g/g/h/38-00-tibra-collection-original-imagyv4hdzzdegzf.jpeg?q=70,445,2499,82%
EVA Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itme11dc47453e7d?pid=SWDH5G4NN96CGBZS&lid=LSTSWDH5G4NN96CGBZSDE1SFL&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_3&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5G4NN96CGBZS.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/r/d/m/s-eva-tvasmi-original-imagvtrzfxs24hah.jpeg?q=70,1175,3999,70%
VT-MIA-white-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm81acda2e63cf0?pid=SWDHDJM97UTYEQGD&lid=LSTSWDHDJM97UTYEQGDXQ7K5B&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_4&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDJM97UTYEQGD.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/v/l/a/m-embrodairy-kurta-set-for-human-satamar-creation-original-imahb82utqzpb4ug.jpeg?q=70,1236,2456,49%
Girls Festive & Party Kurta Pyjama & Dupatta Set,https://www.flipkart.com/mehrajdresses-girls-festive-party-kurta-pyjama-dupatta-set/p/itma5bb9bacbc1a0?pid=KETH9B48ZMHDX8BC&lid=LSTKETH9B48ZMHDX8BC1KJXFQ&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_5&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fRXHHFTHPkcGeVBl2s-w7YyWnqjFVu9W8ciUOHiaUrmLw%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/j/x/m/10-11-years-pakistani-mehrajdresses-original-imah9b47vhp83rez.jpeg?q=70,378,999,62%
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/nofilter-men-kurta-pyjama-set/p/itm3f2cfee914640?pid=ETHGZHFG46M7UP6N&lid=LSTETHGZHFG46M7UP6N8YS0EW&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_6&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fQzQG8HEUd4ebmWUQdhoTTnQ2arGJkKY6cTM5jN8VJc5g%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/0/u/h/xxl-long-print-kurta-payjama-nofilter-original-imagsb6chqagnrep.jpeg?q=70,324,1499,78%
VT-NIRVA_yellow-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm25a375ef883f8?pid=SWDHDJK3FDJZRRHX&lid=LSTSWDHDJK3FDJZRRHXC4Z8IE&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_7&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDJK3FDJZRRHX.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-salwar-kurta-dupatta/3/z/v/xxl-embrodairy-kurta-set-for-human-satamar-creation-original-imahbqq8yayqhaug.jpeg?q=70,1287,2590,50%
VT-BLACK_BERRY-xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm9d4b3addb2891?pid=SWDHDKG5BCWWEUFC&lid=LSTSWDHDKG5BCWWEUFCGMTJ4R&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_8&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDKG5BCWWEUFC.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/3/k/g/l-3004202501-glam-india-original-imahbppugk3hk6ud.jpeg?q=70,1267,2566,50%
VT-NORA_YELLOW-xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm80a79c68afb1f?pid=SWDHDJJRRBU789YG&lid=LSTSWDHDJJRRBU789YG73CZFJ&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_9&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDJJRRBU789YG.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/p/f/q/xl-di-nora-mustard-kiwa-studio-original-imah9bffy5ztgvbg.jpeg?q=70,1203,2534,52%
Pallavi xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm2665ea8edee62?pid=SWDH5ZFW43ZHPBFC&lid=LSTSWDH5ZFW43ZHPBFCIMTM4S&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_10&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5ZFW43ZHPBFC.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ethnic-set/b/l/m/m-pallavi-cotton-kurta-set-x-glam-original-imah4c7qpf7vsek2.jpeg?q=70,1276,3999,68%
