product name,url,image url
Embroidered Viscose Rayon Stitched Anarkali Gown,https://www.flipkart.com/vasant-apparel-anarkali-gown/p/itmcc150e99e4bd0?pid=GWNHF3MSSXUA3HQE&lid=LSTGWNHF3MSSXUA3HQEGVH82V&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_1&otracker=browse&fm=organic&iid=en_HARaVyZ5Q0kO7lcbvpm4N-lK_kcV3WBkQYhF4VbI77zmRDvDtSZ-aHruCz2Lgg6n43jDiV-apiaVknBz13Hwfw%3D%3D&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/o/b/s/na-m-3-4-sleeve-stitched-1058-new-vasant-apparel-na-original-imahf3mpc9b8wzbd.jpeg?q=70
Printed Rayon Blend Stitched Flared/A-line Gown,https://www.flipkart.com/dearknot-flared-a-line-gown/p/itmc40ee76dd7dcb?pid=GWNHED5TNEDKEZZH&lid=LSTGWNHED5TNEDKEZZH7WAH81&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_2&otracker=browse&fm=organic&iid=en_HARaVyZ5Q0kO7lcbvpm4N-lK_kcV3WBkQYhF4VbI77w5LwjGoDkWhjNZib7eCQ8PR0nswTcuh1brk9FCNbVd_w%3D%3D&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/k/t/t/na-l-3-4-sleeve-stitched-barlin-3-dearknot-na-original-imahed5t6tddgg2t.jpeg?q=70
Printed Georgette Stitched Anarkali Gown,https://www.flipkart.com/dhyan-creation-online-anarkali-gown/p/itm4fd022902a5e0?pid=GWNGU7TWEQKG26JM&lid=LSTGWNGU7TWEQKG26JMMP7KQJ&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_3&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNGU7TWEQKG26JM.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/i/t/p/l-mlf-dvd-pink-gown6-marutilifestyle-original-imahdrds8rgje8ur.jpeg?q=70
Printed Polyester Stitched Anarkali Gown,https://www.flipkart.com/paru-impex-anarkali-gown/p/itm8d6ff26a6f9b5?pid=GWNHE3QQBGKBXSHB&lid=LSTGWNHE3QQBGKBXSHBMRETTC&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_4&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNHE3QQBGKBXSHB.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/9/x/w/216-s-short-sleeve-stitched-6208-paru-impex-660-original-imahe3qqe92t7tas.jpeg?q=70
Printed Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/panjurli-flared-a-line-gown/p/itm91d04eadd8547?pid=GWNGPU5NZG5QGDEJ&lid=LSTGWNGPU5NZG5QGDEJJFIHG7&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_5&otracker=browse&fm=organic&iid=en_HARaVyZ5Q0kO7lcbvpm4N-lK_kcV3WBkQYhF4VbI77wJAyyF6Lh4FLTy8H4QdUa7i_P5qLsEyJrcLvZ5b1T8rw%3D%3D&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/b/d/i/na-xxl-full-sleeve-stitched-miss-16-nari-dream-na-original-imagztvzmvdvetgy.jpeg?q=70
Printed Rayon Blend Stitched Flared/A-line Gown,https://www.flipkart.com/dearknot-flared-a-line-gown/p/itma544c1887250b?pid=GWNHED5TUDMYDURD&lid=LSTGWNHED5TUDMYDURDNAONLU&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_6&otracker=browse&fm=organic&iid=en_HARaVyZ5Q0kO7lcbvpm4N-lK_kcV3WBkQYhF4VbI77z2H-L-8o5tpOHQ5d2rOcWoLM-R11g62KIbe43_mzNY9w%3D%3D&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/t/e/m/na-l-3-4-sleeve-stitched-barlin-3-dearknot-na-original-imahed5tvyjvm7zw.jpeg?q=70
Polyester Stitched Anarkali Gown,https://www.flipkart.com/paru-impex-anarkali-gown/p/itm105003f0759db?pid=GWNHE3QWKJZYDFGU&lid=LSTGWNHE3QWKJZYDFGUVDBUMK&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_7&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNHE3QWKJZYDFGU.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/r/m/q/na-s-3-4-sleeve-stitched-pampa-mehendi-s-judydall-na-original-imahcstz6ezfr8vy.jpeg?q=70
Floral Print Georgette Stitched Anarkali Gown,https://www.flipkart.com/henikcreation-anarkali-gown/p/itm2fbdd2c79aa93?pid=GWNHC9W2AWNCTC8X&lid=LSTGWNHC9W2AWNCTC8XVAXPGO&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_8&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNHC9W2AWNCTC8X.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/g/q/x/na-s-full-sleeve-stitched-butterfly-bhavani-s-amanjyoti-na-original-imahbzfu7sahqwtc.jpeg?q=70
Printed Georgette Stitched Straight Gown,https://www.flipkart.com/houseofcommon-straight-gown/p/itm1084721f79f8e?pid=GWNHDWRMAYCPSNXQ&lid=LSTGWNHDWRMAYCPSNXQJEEZKE&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_9&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNHDWRMAYCPSNXQ.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/u/p/6/na-xl-full-sleeve-stitched-aa-karina-white-gown-xl-houseofcommon-original-imahdwrmyf3jjv6v.jpeg?q=70
Printed Cotton Rayon Stitched Flared/A-line Gown,https://www.flipkart.com/nitya-fashion-flared-a-line-gown/p/itm91a2148b2334c?pid=GWNH2QWCHH7HF6VQ&lid=LSTGWNH2QWCHH7HF6VQVMPESE&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_10&otracker=browse&fm=organic&iid=2390d08b-0014-44d1-8c6b-9f1812299998.GWNH2QWCHH7HF6VQ.SEARCH&ppt=None&ppn=None&ssid=ekibdpoas00000001753511961890,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-gown/1/i/6/xxl-3-4-sleeve-stitched-s2011-bamsom-wear-original-imah6zjhe4mpkjsf.jpeg?q=70
