product name,url,image url,price,mrp,discount,brand
Printed Puff Sleeve Top,https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck-floral-printed-sweetheart-neck-puff-sleeve-crop-top/26022350/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/26022350/2023/11/24/ce68ad8b-d6d2-479d-b8d1-25e6d3d1e9cc1700809910410SlyckRedFloralPrintSweetheartNeckPuffSleeveCropTop1.jpg,359,1199,70%,Myntra
Square Neck Fitted Crop Top,https://www.myntra.com/tops/glitchez/glitchez-square-neck-fitted-crop-top/32548296/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/22/FN3KJdbu_4c534c4b5fba421b88c66aceddececaf.jpg,279,699,60%,Myntra
Printed Puffed Sleeves Top,https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck-floral-printed-puffed-sleeves-top/26022422/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/26022422/2023/12/19/57ff8776-1704-4b5a-95bb-4311decbb7981702964288541-Slyck-Floral-Printed-Puffed-Sleeves-Top-9991702964288195-1.jpg,395,1199,67%,Myntra
Off-Shoulder Fitted Top,https://www.myntra.com/tops/glitchez/glitchez-off-shoulder-fitted-top/32548560/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32548560/2025/6/4/a2a4e535-2a96-49e4-a980-48483881e8d21749035693732-glitchez-Women-Tops-7061749035693184-1.jpg,399,999,60%,Myntra
Square Neck Fitted Top,https://www.myntra.com/tops/aahwan/aahwan-long-sleeves-square-neck-fitted-top/27655852/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/27655852/2024/2/17/e2d744e7-d32b-486a-aa6d-bf5b7f389d131708161940314AAHWANTop1.jpg,326,1999,1673,Myntra
Women Solid Top,https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck--solid-round-neck-top/30897388/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/SEPTEMBER/10/x4bMoQei_fd2f77e5a1ec4d739bc1efca40cbd830.jpg,388,1049,63%,Myntra
Tie-Up Neck Crop fitted Top,https://www.myntra.com/tops/aahwan/aahwan-tie-up-neck-cropped-regular-fitted-top/31223488/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/OCTOBER/5/hljmrVSC_241420c59bcd48baaccfe53de3a1c14f.jpg,326,1999,1673,Myntra
Ribbed Crop Fitted Top,https://www.myntra.com/tops/glitchez/glitchez-ribbed-scoop-neck-crop-fitted-top/31795488/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/21/bMhQnmyZ_f0278002b93d4c40a911308475ead042.jpg,318,1099,71%,Myntra
Women Red Shirt Collar Top,https://www.myntra.com/tops/istyle+can/istyle-can-women-red-ribbed-shirt-collar-top/32693895/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/7/nglWbaVL_ff5924e51fc946379290bc2bd2e60724.jpg,336,999,663,Myntra
Tank Top,https://www.myntra.com/tops/istyle+can/istyle-can-tank-crop-top/33015574/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/2/rWDWpwzy_903061d49e904480b8b2790216120828.jpg,285,999,714,Myntra
