product name,url,image url,price,mrp,discount,brand
Women Korean Pants,https://myntr.it/aJZvg79,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/18/VhffYRsw_b2333d16715746edb0374e0852a73726.jpg,1349,4499,70%,Myntra
Women Flared Pleated High-Rise Trousers,https://myntr.it/t4pqBqy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/25/aV83gmy9_c708595ca52e4372a4210d2ff5c108ed.jpg,899,2999,70%,Myntra
Women Pleated Trousers,https://myntr.it/VQqQFxo,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/31990544/2024/12/17/75e2a952-3fc2-40e3-a58a-cc19eeebadf41734428692504BROADSTARWomenSmartLooseFitHigh-RiseEasyWashPleatedTrousers1.jpg,999,2999,2000,Myntra
Women Flared Korean Pants,https://myntr.it/FfHnhKG,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/17/K7R8WjKt_29e36fabf4974c40be4517a8d6aaeb41.jpg,1349,4499,70%,Myntra
Pleated High-Rise Trousers,https://myntr.it/nbeIVxj,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/20/plOgT4nr_8148ad0150194efd998105f892171ad0.jpg,999,2999,2000,Myntra
Women Pleated High-Rise Trousers,https://myntr.it/fteAVwd,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/19/vE8c057w_b7227fbb113147c0b38dc995a740ee0c.jpg,999,2999,2000,Myntra
Women High-Rise Korean Pants,https://myntr.it/42jeFaY,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/17/5WxE95bw_570b43a827bd4cd5b0aaece3c16d8eff.jpg,1349,4499,70%,Myntra
Women Loose Fit Korean Pants,https://myntr.it/2kpvtRh,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/gXv1g2LW_b1a41e5860b548bd92898a9af26d04cb.jpg,999,2999,2000,Myntra
High-Rise Flared Korean Pants,https://myntr.it/gRVfLpu,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/ZdI0vhKO_9b27096e107c4b839a5c67cda4daf62a.jpg,999,2999,2000,Myntra
Women Straight Fit High-Rise Trousers,https://myntr.it/O2O3pT3,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/15/Xig5rFQh_43f006581a234408bddeef0ea2b74412.jpg,598,2329,1731,Myntra
Women Loose Fit Korean Pant,https://myntr.it/nX39Px5,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/19/GGjr0h3n_bdab318da6994d17842dc4da466cc033.jpg,999,2999,2000,Myntra
Women Loose Fit Korean Pants,https://myntr.it/pXECb9g,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/QQDYPb4a_01c0d036d42c48c5888729a4d83b23ea.jpg,999,2999,2000,Myntra
High-Rise Trousers,https://myntr.it/45JGoq6,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/15/ilx2W2Nu_b91078a115504f498e2aaae71a78d6e9.jpg,598,2329,1731,Myntra
Women High-Rise Korean Pants,https://myntr.it/6FVAVfy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/MeA6KwVW_166d2fd8d8af4eac995123f34fd7ab4f.jpg,999,2999,2000,Myntra
Korean baggy Trousers,https://myntr.it/6sYK8fx,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/28/Qs6WejRy_69c6c7bd4e154fa9bbc2133e55a923f2.jpg,1000,2499,59%,Myntra
Women Cotton Trousers,https://myntr.it/anED9z2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/25/E6veD0dp_3e53649e71c243bcba0750846dfba3ac.jpg,1439,2999,52%,Myntra
Women Parachute Trousers,https://myntr.it/w6pRFmB,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/DECEMBER/9/JvgA4K18_da4225e34d8e40578f2b033798d71abc.jpg,879,1999,56%,Myntra
Women Straight Fit Pleated High-Rise Trousers,https://myntr.it/Tcmv9R8,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/14/yYTXtoKH_d4e74bd90b6547698f3ba446367dfe2c.jpg,1899,3799,50%,Myntra
Loose Fit High-Rise Trousers,https://myntr.it/Q3YuYlF,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/31966714/2024/12/14/0fbdbc44-a201-439b-aed9-9ea31f1122b61734159802691NextOneWomenSmartHigh-RiseEasyWashPleatedTrousers1.jpg,999,2999,2000,Myntra
High-Rise Pleated Korean Pants,https://myntr.it/hpa3yW0,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/1/xepYJez1_3812435952f544e487e3c444762387e0.jpg,799,1999,1200,Myntra
Women Trouser,https://myntr.it/Pel3n5j,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/24/39MeJBua_f49201bdcb584073b5a29894e1a7de9b.jpg,1343,2799,52%,Myntra
Women Pleated Korean Pants,https://myntr.it/3G8oJC2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/lGQmNwD1_ec6286b7fbca4729b30fce26232927b3.jpg,999,2999,2000,Myntra
Women Parachute Trousers,https://myntr.it/bDw0iJ2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/DECEMBER/9/KCkEUL2A_da029580b8c546c7afbe4e97e98ddb3a.jpg,799,1999,60%,Myntra
Women Straight Fit Trousers,https://myntr.it/9S8zbki,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/22/N1SO6mTu_1bdc6aca8d5e4eddbc9b389863e8b22e.jpg,1199,2999,60%,Myntra
Women Parachute Trousers,https://myntr.it/Z93HtiI,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/DECEMBER/6/E72Ra90a_20015e8c21f544559f5ef6a43ddf4b42.jpg,779,2599,70%,Myntra
Women High-Rise Korean Pants,https://myntr.it/NMjOjuX,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/oORpoaPu_6f16a26cbbd144949704b61070b9e190.jpg,999,2999,2000,Myntra
Korean baggy Trouser,https://myntr.it/F98Tvit,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/28/HBwWKSfI_80ccba5537204ef3922249a965a1a054.jpg,1000,2499,59%,Myntra
High-Rise Flared Korean Pants,https://myntr.it/58xY3Cc,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/27/bBvVVk2e_112ae43f9b64477a972c99f4c68d7d13.jpg,999,2999,2000,Myntra
Women Korean Pants,https://myntr.it/2aV8EYg,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JANUARY/30/0VsGAOhL_c36c3d1002b04ae5b25f6ab17723d1ab.jpg,999,2999,2000,Myntra
Textured Korean Pants,https://myntr.it/PKtHYLy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/19/q9nvxjU6_ece73e74249d4bbda987c3eec7edcae4.jpg,1799,4899,3100,Myntra
High-Rise Pleated Korean Pants,https://myntr.it/aBZDYbu,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/31990537/2024/12/17/5414e89e-f2dd-4b92-96f6-59e2c34089251734429682227BROADSTARWomenSmartLooseFitHigh-RiseEasyWashPleatedTrousers1.jpg,999,2999,2000,Myntra
Women Parachute Trousers,https://myntr.it/Acsywfi,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/DECEMBER/6/fdmQDGiu_1e068d8bda7740df8f340809507f8b54.jpg,779,2599,70%,Myntra
Women Straight Fit Pleated High-Rise Trousers,https://myntr.it/jEOyCfd,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32705315/2025/5/23/1550fdab-1659-4b6e-ae48-ab00489a5ebe1748007998974-High-Star-Women-Loose-Fit-Fit-High-Rise-Wrinkle-Free-Pleated-1.jpg,1763,3599,51%,Myntra
