product name,url,image url,price,mrp,discount,brand
Regular Viscose Rayon Kurta,https://myntr.it/nmiJY9D,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/24/3rzqW3GI_0c25b8b5bb5640a582e91e58e5354390.jpg,305,1799,83%,Myntra
Printed Straight Kurta,https://myntr.it/g1NmyJ3,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/4/oklbeem5_1c0659da028646e2ae25610b49d93f6d.jpg,389,1299,70%,Myntra
Striped Straight Kurta,https://myntr.it/00yNad4,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33662044/2025/5/22/295ebac6-476b-42d8-94c8-181d3fa24cbd1747909835936-Anouk-Rustic-Women-Kurtas-9781747909835399-1.jpg,376,1299,71%,Myntra
Floral Printed Straight Kurta,https://myntr.it/QM5Vr73,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/24/oPABJLgs_65a0899b16a742e8b1b0e5a3d3a66b11.jpg,359,1799,80%,Myntra
Floral Printed Kurta,https://myntr.it/aRbqjGO,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32434556/2025/2/10/1b6a961d-2dca-4ba3-862d-0b7f2447bdd61739181514303-Anouk-Women-Kurtas-9241739181513936-1.jpg,389,1299,70%,Myntra
Floral Printed Straight Kurta,https://myntr.it/j42PvaJ,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33612446/2025/5/20/031f18db-1e47-4660-9f43-72e3389656c71747735132709-Anouk-Rustic-Women-Kurtas-7721747735132218-4.jpg,309,999,69%,Myntra
Pure Cotton Straight Kurta,https://myntr.it/5wXfyrs,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/1/SJtuaTgX_e4531459368f419ebfba5b0b110803e1.jpg,398,2099,81%,Myntra
Floral Printed Straight Kurta,https://myntr.it/8ekkb33,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/OCTOBER/1/m7nufrll_48710e8d9b464c18afe5a6066c78cdc2.jpg,299,1499,80%,Myntra
Ethnic Motifs Printed Kurta,https://myntr.it/xa2KpeH,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/12/PrToRuUU_9fa599de844a4ed384c8e1c144a32b6d.jpg,199,830,76%,Myntra
Striped Pure Cotton Kurta,https://myntr.it/2T8jrp1,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/NOVEMBER/11/H8ajYd29_1e601c07bdbd46db8c74dc9649481b3d.jpg,359,1499,76%,Myntra
Women Leheriya Printed Kurta,https://myntr.it/g5b47Uy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/19133090/2022/7/28/4ddd2f7b-0d76-4a83-8c8b-a3ed450372e41659002721371-Anouk-Women-Kurtas-9831659002720736-1.jpg,399,1599,75%,Myntra
Floral Printed Kurta,https://myntr.it/qgwiwb6,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33663982/2025/5/16/036dadb9-71cd-43be-b2aa-e1ea1fc2a68a1747369667838-Anouk-Rustic-Women-Kurtas-4701747369667293-1.jpg,335,1199,72%,Myntra
Women Solid Straight Kurta,https://myntr.it/W1mY9SU,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/21915750/2023/7/11/a00ae321-54f3-47ed-94dc-6d07e223c8121689071647412-Anouk-Women-Kurtas-1951689071646939-1.jpg,296,1099,73%,Myntra
Women Geometric Printed Kurta,https://myntr.it/0PsKBGh,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/13/MCk8T9L9_1c65ccdda54940d7b791a8495ca619e4.jpg,299,2199,1900,Myntra
Ethnic Motifs Printed Kurta,https://myntr.it/OEyPoLm,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33663832/2025/5/15/6accf9ee-b6f9-4fbf-8547-4879c61e9cf41747306590871-Anouk-Rustic-Women-Kurtas-8961747306590243-1.jpg,347,1199,71%,Myntra
Women Printed Kurta,https://myntr.it/tRddi01,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24967974/2023/9/26/242b6553-f380-44b8-a702-1fa9c9c73d081695708018476-Anouk-Women-Kurtas-7301695708017918-1.jpg,399,1599,75%,Myntra
Regular Viscose Rayon Kurta,https://myntr.it/Gbk51em,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/24/oSN5tRAv_1ad4882d018c4b3d83f04474e7e6bdc7.jpg,305,1799,83%,Myntra
Tropical Printed Kurta,https://myntr.it/2vbsQtK,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33731846/2025/5/19/e621115f-928a-4fc9-805d-16cc5144f76a1747645784104-Anouk-Rustic-Women-Kurtas-3721747645783516-1.jpg,319,999,68%,Myntra
