product name,url,image url,price,mrp,discount,brand
V-Neck Pure Cotton Kurta,https://myntr.it/MZcOMeX,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JANUARY/17/ACbUJVPD_b895f8bb46fa45e8b3cc1ac28cb8eea9.jpg,699,2099,1400,Myntra
A-Line Kaftan With Trouser,https://myntr.it/hEUORsC,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/SEPTEMBER/30/pSZsPHeO_c9ce97a75a2244f4bb93da4e53e685ca.jpg,1299,4999,74%,Myntra
Women Ethnic Motifs Printed Anarkali Kurta,https://myntr.it/Mq0xrnk,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/16995740/2023/10/16/1d24c330-ab7e-43fc-9d40-e4abde77fb9d1697444438734DivenaWomenGreenEthnicMotifsPrintedMirrorWorkAnarkaliKurta1.jpg,1844,4499,59%,Myntra
Embroidered Kaftan Dress,https://myntr.it/VihK4Y9,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/30839584/2024/9/5/b9c1f175-e7b4-4f54-859f-5f3aa593e4031725531953133-DUMMY-SHAPE-Women-Embroidered-Thread-Work-Floral-Maternity-K-1.jpg,719,3999,82%,Myntra
Women Printed Kurta with Trousers With Dupatta,https://myntr.it/mYmZmc0,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/NOVEMBER/25/VMQbH0Sw_cee3d404e2a04fa0b9f98c59cd50ccc0.jpg,1998,5450,3452,Myntra
Women Kurta with Palazzos,https://myntr.it/K01XWZ8,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/15509946/2025/6/21/e352f076-4c03-4916-a900-8af6e174f8d61750508180050-Jaipur-Kurti-Angrakha-Style-Cotton-Flared-Kurta-With-Palazzo-1.jpg,1599,3449,1850,Myntra
Kurta With Trousers & Dupatta,https://myntr.it/vDAMt7h,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24838938/2023/9/7/eb08dc7c-2ee6-42b3-b268-2c69be504bfa1694025006164IndoEraWhiteEmbroideredA-LineKurtaTrousersWithDupattaSet1.jpg,1799,5999,70%,Myntra
Kurta with Trousers & Dupatta,https://myntr.it/XG9DE6r,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/30104333/2024/7/3/7a94809a-ae3c-4635-b299-67d9ada5f0c71719998808211AnoukWomenEmbroideredRegularBeadsandStonesLinenKurtawithTrou7.jpg,2339,6499,64%,Myntra
Cotton Floral Print Kurta,https://myntr.it/AAAKyd1,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/14101566/2021/6/8/b0abb709-057e-4c86-9074-15c9bf82b1be1623146375269TRENDYOLCOLLECTIONWomenGreyBlackSelf-DesignLoungePantsDresse1.jpg,987,2599,62%,Myntra
V-Neck Printed Kurta Set,https://myntr.it/RHRolyp,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33237847/2025/3/20/e48632b2-ea64-4b21-882b-51278295ae161742473044944-Indo-Era-Bandhani-Printed-V-Neck-Zari-Silk-Chiffon-Straight--1.jpg,1699,4599,2900,Myntra
