product name,url,image url
Self Design Kanjivaram Art Silk Saree,https://www.flipkart.com/kevamifashion-self-design-kanjivaram-art-silk-saree/p/itm8b84a466a2e16?pid=SARHBQW6UBEX8V3P&lid=LSTSARHBQW6UBEX8V3PXX8OZZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=en_kqL-WMGUXgI0c6V4rn-svjsZe2Wyv-4zUha4127p4FXAtC-2WNbpdUpdZcf0typ0KRjJZS0lhh9XTYNZaF7jtA%3D%3D&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/p/3/j/free-hm-588-gariya-unstitched-original-imahccyasnjm8w2t.jpeg?q=70
Woven Kanjivaram Pure Silk Saree,https://www.flipkart.com/suntex-woven-kanjivaram-pure-silk-saree/p/itme47f1113b2508?pid=SARH7C4BKTBBPPHF&lid=LSTSARH7C4BKTBBPPHFSJQ5TM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_2&otracker=browse&fm=organic&iid=en_kqL-WMGUXgI0c6V4rn-svjsZe2Wyv-4zUha4127p4FW635RDoK0rYw3I5l1KSIV5XjPERkm2LpBFhBVp7si50A%3D%3D&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/p/c/i/free-repier-7-new-saadhvi-unstitched-original-imahb4rph6wbz5fe.jpeg?q=70
"Woven Kanjivaram Art Silk, Jacquard Saree",https://www.flipkart.com/gajgajra-woven-kanjivaram-art-silk-jacquard-saree/p/itm6fe572ddcb058?pid=SARH3KJAHEGHBG5S&lid=LSTSARH3KJAHEGHBG5SGEE3PR&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_3&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARH3KJAHEGHBG5S.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/4/y/o/free-silksaree-womensaree-cottonsilksaree-newsareescollection-original-imahbyptvhtnrfvj.jpeg?q=70
Embellished Bollywood Organza Saree,https://www.flipkart.com/nitya-embellished-bollywood-organza-saree/p/itm243554ef142c6?pid=SARHD96RKYHGFZMQ&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_4&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARHD96RKYHGFZMQ.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/e/z/y/free-bollywood-saree-nitya-unstitched-original-imahdgknnagz4bbe.jpeg?q=70
Woven Kanjivaram Pure Silk Saree,https://www.flipkart.com/suntex-woven-kanjivaram-pure-silk-saree/p/itm3e45c99992b94?pid=SARH7C4AAZQYG2FW&lid=LSTSARH7C4AAZQYG2FWFOZ2ES&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=en_kqL-WMGUXgI0c6V4rn-svjsZe2Wyv-4zUha4127p4FX_y7-ioWg8PJoCAKfe4QKLu2rgpE-MgS2yVWndeBp2zQ%3D%3D&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/m/m/a/free-repier-7-new-samai-unstitched-original-imah6ubghzg2v6hx.jpeg?q=70
Woven Kanjivaram Pure Silk Saree,https://www.flipkart.com/suntex-woven-kanjivaram-pure-silk-saree/p/itmc23cbd22eb06e?pid=SARH7C4AZZXAJUAV&lid=LSTSARH7C4AZZXAJUAVNYPRHV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=organic&iid=en_kqL-WMGUXgI0c6V4rn-svjsZe2Wyv-4zUha4127p4FVeG9jEEESbHxxUwa2ExDQT_61iwa7rHaC6gZnN2j8prg%3D%3D&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/q/c/y/free-repier-7-new-saadhvi-unstitched-original-imahdh6dcxwddwxb.jpeg?q=70
Embellished Bollywood Organza Saree,https://www.flipkart.com/nitya-embellished-bollywood-organza-saree/p/itm25b2548c91787?pid=SARHD96RGR4MVWYJ&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_7&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARHD96RGR4MVWYJ.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/i/8/free-bollywood-saree-nitya-unstitched-original-imahdgkzrz7qm2rv.jpeg?q=70
Embroidered Bollywood Chiffon Saree,https://www.flipkart.com/houseofcommon-embroidered-bollywood-chiffon-saree/p/itmd7a7a08b3d03f?pid=SARHDPX5GDRGGWVY&lid=LSTSARHDPX5GDRGGWVYE2JP7K&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_8&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARHDPX5GDRGGWVY.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/3/s/7/free-2937ps4-ts-tasrika-unstitched-original-imahdpwekn8wxwyh.jpeg?q=70
"Woven Banarasi Cotton Silk, Jacquard Saree",https://www.flipkart.com/bulldozer-woven-banarasi-cotton-silk-jacquard-saree/p/itm669718bf21bfa?pid=SARHDK76VZGRT8TB&lid=LSTSARHDK76VZGRT8TBDMHAMB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARHDK76VZGRT8TB.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/y/y/5/free-aarati-red-green-fine-wear-unstitched-original-imahdbh62ntp3d32.jpeg?q=70
Printed Kalamkari Chiffon Saree,https://www.flipkart.com/dazlio-printed-kalamkari-chiffon-saree/p/itm1038735467b49?pid=SARH5E4KUMC6DHCA&lid=LSTSARH5E4KUMC6DHCAUFM31H&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_10&otracker=browse&fm=organic&iid=727a9c30-5f8b-461e-8b7f-0075233c0e4b.SARH5E4KUMC6DHCA.SEARCH&ppt=None&ppn=None&ssid=m8nv95p60g0000001753527403017,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/w/x/l/free-printed-sari-rohu-112green-majisasaree-unstitched-original-imah4ygjkwja3h3b.jpeg?q=70
