product name,url,image url,price,mrp,discount
Running Shoes For Men,https://fkrt.cc/gGWTJDj,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/d/z/v/7-1801blue-7-fitze-blue-original-imahysbyrk7mkjua.jpeg?q=70,470,2999,84%
TPU Walking Shoes For Men,https://fkrt.cc/gIwrV1a,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/z/w/0/-original-imahd2pahg4kfmvv.jpeg?q=70,650,2249,71%
Running Shoes For Men,https://fkrt.cc/gEQu1mX,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/u/d/-original-imahd2zazzde6j6f.jpeg?q=70,498,1499,66%
CRYSTA PRO Running Shoes For Men,https://fkrt.cc/gu95XBw,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/r/o/-original-imagyxqzmhk6fsyf.jpeg?q=70,701,1302,46%
JOLT 1 Outdoors For Men,https://fkrt.cc/gW2QjXQ,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/c/t/s/-original-imah9mg7jcqbuxvk.jpeg?q=70,1845,4499,58%
DD-RAFTAAR-Sea BlueWalking/Outdoor/Gym & Traning/Running Sports Shoes Casuals For Men,https://fkrt.cc/g5jfHrm,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/f/t/e/7-dd-raftaar-sea-blue-7-clymb-blue-original-imahdugusgqpq8wq.jpeg?q=70,442,999,55%
STRIDE RUNNER M Running Shoes For Men,https://fkrt.cc/goG4oRw,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/1/l/-original-imahd2zhypcj7u3b.jpeg?q=70,1047,2499,58%
FLYLITE AXTON M Running Shoes For Men,https://fkrt.cc/gyL20xD,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/h/x/7-rmsora3947-8-reebok-black-vector-red-original-imahce35thry9vpx.jpeg?q=70,1349,2499,46%
Party Wear For Men,https://fkrt.cc/gBR8tjj,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/0/x/d/7-sports-ravdi-white-original-imahc8mqzhkzm3hw.jpeg?q=70,483,1999,75%
NEW Superior Lightweight Comfortable Sport Shoes Walking Shoes For Men,https://fkrt.cc/gpjrqCg,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/5/q/6-brd-1471-6-birde-navy-original-imahf555harjhy9w.jpeg?q=70,699,1999,65%
Comfortable Premium Stylish Unique Trendy Popular KUS1996_BLACK 10 for Men Training & Gym Shoes For Men,https://fkrt.cc/ga21uqf,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/c/g/i/8-kus1996-black-08-kaushal-black-original-imagytbnzwsdgma8.jpeg?q=70,450,1999,77%
Stride Runner M Running Shoes For Men,https://fkrt.cc/ghXG0a8,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/k/3/-original-imagsuvne32jawqr.jpeg?q=70,1467,2499,41%
wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running walking gym trekking hiking & party Running Shoes For Men,https://fkrt.cc/gv9z3QF,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/w/1/9-wndr-13cgryfrz-9-asian-greygreen-original-imagt65qdadzzhks.jpeg?q=70,665,999,33%
AeroSpeed Running Shoes For Men,https://fkrt.cc/gLb9apF,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/l/f/-original-imahbxf25zagmshw.jpeg?q=70,3960,8999,55%
Runesy M Running Shoes For Men,https://fkrt.cc/gKSenqU,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/s/n/-original-imah25hq9y8t3ukf.jpeg?q=70,1526,4299,64%
CRYSTA PRO Running Shoes For Men,https://fkrt.cc/grScAAu,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/c/t/-original-imahfuejrseknuhg.jpeg?q=70,675,1499,54%
Trendy & Stylish Running Shoes For Men,https://fkrt.cc/gcYySIh,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/9/l/7-black-fms-39-7-footox-black-original-imahygb6c7ezrwvt.jpeg?q=70,281,999,71%
Sports Running Shoes For Men Outdoors For Men,https://fkrt.cc/g6ioHEl,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/2/e/z/-original-imahf8kgddnpshbm.jpeg?q=70,498,1999,75%
Z Blue Fashion Eir Force GymSportsTrainingStylish With Extra Comfort Running Sneakers For Men,https://fkrt.cc/gU8jwdH,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/c/r/s/-original-imahegzpuvaqxzzk.jpeg?q=70,1744,2999,41%
cosko Lace up walking outdoor waterproof running Running Shoes For Men,https://fkrt.cc/gh6Nt4S,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/2/q/h/12-cosco-blue-12-clymb-blue-original-imahdnuyfssqcyzu.jpeg?q=70,500,2499,79%
FLYLITE AXTON M Running Shoes For Men,https://fkrt.cc/gEtyA3u,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/e/w/q/10-rmsora3945-11-reebok-white-collegiate-green-original-imahcd3k3xhjye4t.jpeg?q=70,1349,2499,46%
TRUMP-730 EVA Lite Sport Shoes Running Shoes For Men,https://fkrt.cc/gbHe3Xi,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/y/q/7-rng-eva-730-wht-blu-7-bruton-multicolor-original-imahdj8ahh3zwyxm.jpeg?q=70,500,2999,83%
Sneaker For Men| Soft Cushioned Insole Slip-Resistance Training & Gym Shoes Running Shoes For Men,https://fkrt.cc/gWgiLHr,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/8/r/5/8-powerplay-01-8-asian-light-grey-black-original-imah9ywd9wzddn5g.jpeg?q=70,1294,2499,48%
Ckt-700 Cricket Shoes For Men,https://fkrt.cc/gNZ7cMB,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/q/d/6-ckt-700-6-vector-x-white-black-seagreen-original-imah5jk8svxyf5hu.jpeg?q=70,2199,,
DSC Beamer Cricket Shoe Size: 8UK/9US/42EU Lightweight & Highly Durable Cricket Shoes For Men,https://fkrt.cc/gvDeoQT,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/8/b/e/10-beamer-10-dsc-fy20-original-imahfzkb6nd7zzvt.jpeg?q=70,492,899,45%
Premium Sports Gym Trending Stylish Running Shoes For Men,https://fkrt.cc/gjpMQSM,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/q/g/8-sneakers-24503-8-nobelite-white-black-original-imahf3x7nfvpc8hb.jpeg?q=70,500,2499,79%
